filename_prefix,test,train,val,total,num_splits_present
img_07_4405133600,0,6,1,7,2
img_01_425006200,0,5,1,6,2
img_01_425006600,0,4,2,6,2
img_03_3402617400,0,4,2,6,2
img_08_3437011100,0,4,2,6,2
img_08_425508100,2,4,0,6,2
img_01_425007500,0,4,1,5,2
img_01_SIS001577,0,3,2,5,2
img_02_3436816100,0,4,1,5,2
img_02_424799200,0,3,2,5,2
img_02_436184600,0,4,1,5,2
img_02_SIS001491,0,4,1,5,2
img_04_425243200,0,4,1,5,2
img_06_425508300,1,4,0,5,2
img_06_427199900,0,4,1,5,2
img_07_425100400,2,3,0,5,2
img_08_4403744200,0,2,3,5,2
img_01_425000300,0,3,1,4,2
img_01_425392100,0,3,1,4,2
img_02_424799300,1,3,0,4,2
img_02_4402623300,0,2,2,4,2
img_02_4403465900,0,3,1,4,2
img_02_4403466500,0,2,2,4,2
img_02_4406783500,0,3,1,4,2
img_02_SIS001540,0,3,1,4,2
img_03_4402724500,0,2,2,4,2
img_08_425638500,1,3,0,4,2
img_01_425241600,0,1,2,3,2
img_01_425503000,2,0,1,3,2
img_02_425392400,0,2,1,3,2
img_02_425508400,0,1,2,3,2
img_02_SIS001533,0,2,1,3,2
img_03_424799600,1,2,0,3,2
img_03_SIS001533,2,1,0,3,2
img_04_425237600,0,2,1,3,2
img_04_425613500,0,2,1,3,2
img_04_436068100,0,1,2,3,2
img_06_425503400,0,2,1,3,2
img_06_425507200,0,2,1,3,2
img_07_424714400,0,2,1,3,2
img_07_425503000,0,2,1,3,2
img_07_427199900,0,1,2,3,2
img_07_436163600,0,2,1,3,2
img_07_4402625300,0,2,1,3,2
img_07_4402719100,2,1,0,3,2
img_08_425608200,0,2,1,3,2
img_08_436068100,0,2,1,3,2
img_01_3402617700,0,1,1,2,2
img_01_424995500,0,1,1,2,2
img_01_425241700,1,0,1,2,2
img_01_425244100,0,1,1,2,2
img_01_425244400,1,0,1,2,2
img_01_425503600,1,1,0,2,2
img_01_4402270500,1,1,0,2,2
img_01_4406772100,1,1,0,2,2
img_02_425383400,1,0,1,2,2
img_02_425502300,0,1,1,2,2
img_02_425621800,1,1,0,2,2
img_02_425637500,0,1,1,2,2
img_02_4403466700,0,1,1,2,2
img_02_4404580000,1,0,1,2,2
img_02_4404580600,1,1,0,2,2
img_02_4405230800,0,1,1,2,2
img_02_SIS001577,1,0,1,2,2
img_03_424825900,0,1,1,2,2
img_03_425391000,1,1,0,2,2
img_03_425391800,1,1,0,2,2
img_03_425505000,0,1,1,2,2
img_03_425505500,1,0,1,2,2
img_03_425609500,1,1,0,2,2
img_03_425614700,1,0,1,2,2
img_03_436153600,1,1,0,2,2
img_03_436164500,1,1,0,2,2
img_03_436185500,0,1,1,2,2
img_03_4404580600,0,1,1,2,2
img_04_3402617700,0,1,1,2,2
img_04_424826100,0,1,1,2,2
img_04_425502100,1,1,0,2,2
img_04_425616200,0,1,1,2,2
img_04_425622400,0,1,1,2,2
img_04_425640100,1,1,0,2,2
img_05_424799400,0,1,1,2,2
img_05_425502300,0,1,1,2,2
img_05_425503400,0,1,1,2,2
img_05_425637800,0,1,1,2,2
img_06_3436639700,1,1,0,2,2
img_06_425502600,1,0,1,2,2
img_06_425505500,0,1,1,2,2
img_06_425506100,0,1,1,2,2
img_06_425608200,0,1,1,2,2
img_06_425614700,0,1,1,2,2
img_06_430103100,0,1,1,2,2
img_06_436164300,0,1,1,2,2
img_06_436164700,1,1,0,2,2
img_07_424799400,0,1,1,2,2
img_07_4405168700,0,1,1,2,2
img_07_4405376700,0,1,1,2,2
img_08_425503400,0,1,1,2,2
img_08_425504800,0,1,1,2,2
img_08_425505100,0,1,1,2,2
img_08_4402842500,0,1,1,2,2
img_04_431854700,0,6,0,6,1
img_01_425243300,0,5,0,5,1
img_02_425243200,0,5,0,5,1
img_03_425505400,0,5,0,5,1
img_03_3402617100,0,4,0,4,1
img_03_424714400,0,4,0,4,1
img_03_424826800,0,4,0,4,1
img_03_SIS001546,0,4,0,4,1
img_06_436185800,0,4,0,4,1
img_06_4402625300,0,4,0,4,1
img_07_425508300,0,4,0,4,1
img_01_3436815300,0,3,0,3,1
img_01_425241500,0,3,0,3,1
img_02_3402618000,0,3,0,3,1
img_02_425243400,0,3,0,3,1
img_03_3402617500,0,3,0,3,1
img_03_3402618000,0,3,0,3,1
img_03_425613800,0,3,0,3,1
img_05_425608200,0,3,0,3,1
img_06_3436786500,0,3,0,3,1
img_06_4404374100,0,3,0,3,1
img_06_4405133600,0,3,0,3,1
img_07_425390700,0,3,0,3,1
img_07_425508700,0,3,0,3,1
img_01_424799600,0,2,0,2,1
img_01_424826800,0,2,0,2,1
img_01_425006800,0,2,0,2,1
img_01_425241400,0,2,0,2,1
img_01_425501700,0,2,0,2,1
img_01_425501900,0,2,0,2,1
img_01_425502200,0,2,0,2,1
img_01_425503100,0,2,0,2,1
img_01_425503300,0,2,0,2,1
img_01_425503400,0,0,2,2,1
img_01_425503500,0,2,0,2,1
img_01_425609500,2,0,0,2,1
img_01_425614600,0,2,0,2,1
img_01_425637800,0,2,0,2,1
img_01_SIS001522,0,2,0,2,1
img_02_3402617200,0,2,0,2,1
img_02_425501900,0,2,0,2,1
img_02_425614600,0,2,0,2,1
img_02_425616500,0,2,0,2,1
img_02_425644200,0,2,0,2,1
img_02_436149500,0,2,0,2,1
img_02_436153300,0,2,0,2,1
img_02_436164000,0,2,0,2,1
img_02_436164300,0,2,0,2,1
img_02_4403466200,0,2,0,2,1
img_02_4403466900,0,2,0,2,1
img_02_4406446600,0,2,0,2,1
img_02_SIS001561,0,2,0,2,1
img_02_SIS001564,0,2,0,2,1
img_03_3437006500,0,2,0,2,1
img_03_424798500,0,2,0,2,1
img_03_425503300,0,0,2,2,1
img_03_425504800,0,2,0,2,1
img_03_425508400,0,2,0,2,1
img_03_425613500,0,2,0,2,1
img_03_425637500,0,2,0,2,1
img_03_425638500,0,2,0,2,1
img_03_436153300,0,2,0,2,1
img_03_436164700,0,2,0,2,1
img_03_SIS001491,0,2,0,2,1
img_03_SIS001577,0,2,0,2,1
img_04_424714400,0,2,0,2,1
img_04_425005700,2,0,0,2,1
img_04_425392100,0,2,0,2,1
img_04_425501700,0,2,0,2,1
img_04_425501800,0,0,2,2,1
img_04_425502300,0,2,0,2,1
img_04_425502700,0,2,0,2,1
img_04_425503600,0,0,2,2,1
img_04_431855000,0,2,0,2,1
img_04_4406742400,0,2,0,2,1
img_05_424798500,0,2,0,2,1
img_05_425502600,0,2,0,2,1
img_05_425502900,0,2,0,2,1
img_05_425503800,0,2,0,2,1
img_05_425505100,0,2,0,2,1
img_05_425505500,0,2,0,2,1
img_05_425614600,0,2,0,2,1
img_06_3403403800,0,2,0,2,1
img_06_3403404000,0,2,0,2,1
img_06_3403405900,0,2,0,2,1
img_06_3436814300,0,0,2,2,1
img_06_425508200,0,2,0,2,1
img_06_425508700,0,2,0,2,1
img_06_425637500,0,2,0,2,1
img_07_425004200,0,2,0,2,1
img_07_425008500,0,2,0,2,1
img_07_425243200,0,0,2,2,1
img_07_425390800,0,2,0,2,1
img_07_425507400,0,2,0,2,1
img_07_4405381400,0,2,0,2,1
img_08_424799400,0,0,2,2,1
img_08_425008500,0,2,0,2,1
img_08_425502600,0,2,0,2,1
img_08_425502900,0,2,0,2,1
img_08_425503800,0,2,0,2,1
img_08_425505500,0,2,0,2,1
img_01_3436789500,1,0,0,1,1
img_01_3436814600,0,0,1,1,1
img_01_3437011300,0,0,1,1,1
img_01_424799300,1,0,0,1,1
img_01_424825700,0,0,1,1,1
img_01_424826100,0,1,0,1,1
img_01_424826300,1,0,0,1,1
img_01_425006100,0,1,0,1,1
img_01_425006400,0,1,0,1,1
img_01_425243200,0,1,0,1,1
img_01_425244300,0,1,0,1,1
img_01_425382400,0,1,0,1,1
img_01_425382900,0,0,1,1,1
img_01_425383400,1,0,0,1,1
img_01_425391600,1,0,0,1,1
img_01_425391700,0,1,0,1,1
img_01_425391800,0,1,0,1,1
img_01_425392200,1,0,0,1,1
img_01_425392300,0,0,1,1,1
img_01_425392500,0,1,0,1,1
img_01_425502100,0,0,1,1,1
img_01_425502600,0,1,0,1,1
img_01_425502900,0,1,0,1,1
img_01_425503800,0,0,1,1,1
img_01_425506400,0,1,0,1,1
img_01_425506600,0,1,0,1,1
img_01_425506800,0,1,0,1,1
img_01_425507000,0,1,0,1,1
img_01_425507400,0,1,0,1,1
img_01_425508300,0,1,0,1,1
img_01_425613800,0,1,0,1,1
img_01_425614400,0,1,0,1,1
img_01_425616200,0,1,0,1,1
img_01_425616300,1,0,0,1,1
img_01_425622400,0,1,0,1,1
img_01_425637700,1,0,0,1,1
img_01_425637900,0,1,0,1,1
img_01_425638500,0,1,0,1,1
img_01_425639800,0,1,0,1,1
img_01_425640000,0,1,0,1,1
img_01_429539000,0,1,0,1,1
img_01_432220200,0,1,0,1,1
img_01_433354400,0,0,1,1,1
img_01_435974400,0,0,1,1,1
img_01_436067700,0,0,1,1,1
img_01_436068700,0,1,0,1,1
img_01_4402116900,0,0,1,1,1
img_01_4402117100,0,1,0,1,1
img_01_4402117200,0,1,0,1,1
img_01_4402540800,0,1,0,1,1
img_01_4402541100,0,1,0,1,1
img_01_4402724300,0,0,1,1,1
img_01_4402818600,0,1,0,1,1
img_01_4403690400,0,1,0,1,1
img_01_4405230600,1,0,0,1,1
img_02_3402576500,0,1,0,1,1
img_02_3402616100,0,0,1,1,1
img_02_3402616900,0,1,0,1,1
img_02_3402617100,0,0,1,1,1
img_02_3402617400,0,1,0,1,1
img_02_3402617500,0,1,0,1,1
img_02_3402617700,1,0,0,1,1
img_02_3403404500,0,1,0,1,1
img_02_3403404600,0,1,0,1,1
img_02_3403405400,0,1,0,1,1
img_02_3436787300,0,1,0,1,1
img_02_3436788500,0,0,1,1,1
img_02_3436789300,0,1,0,1,1
img_02_3436789500,0,1,0,1,1
img_02_3437009400,0,1,0,1,1
img_02_424714400,0,1,0,1,1
img_02_424799600,0,0,1,1,1
img_02_425237000,0,0,1,1,1
img_02_425237600,0,0,1,1,1
img_02_425389800,1,0,0,1,1
img_02_425390000,0,1,0,1,1
img_02_425391000,0,1,0,1,1
img_02_425391100,0,1,0,1,1
img_02_425391700,0,1,0,1,1
img_02_425391800,0,1,0,1,1
img_02_425392300,1,0,0,1,1
img_02_425392500,0,1,0,1,1
img_02_425501100,0,1,0,1,1
img_02_425503000,0,1,0,1,1
img_02_425503100,1,0,0,1,1
img_02_425503500,0,1,0,1,1
img_02_425503800,0,1,0,1,1
img_02_425504800,0,1,0,1,1
img_02_425505100,0,0,1,1,1
img_02_425505400,0,1,0,1,1
img_02_425505500,0,1,0,1,1
img_02_425505700,0,1,0,1,1
img_02_425506300,0,1,0,1,1
img_02_425506400,0,1,0,1,1
img_02_425506800,0,1,0,1,1
img_02_425507400,0,0,1,1,1
img_02_425508300,0,1,0,1,1
img_02_425508600,0,1,0,1,1
img_02_425508700,0,0,1,1,1
img_02_425613500,1,0,0,1,1
img_02_425613600,0,1,0,1,1
img_02_425613700,0,1,0,1,1
img_02_425614400,0,1,0,1,1
img_02_425614700,0,1,0,1,1
img_02_425616200,0,0,1,1,1
img_02_425622000,0,1,0,1,1
img_02_425622400,0,1,0,1,1
img_02_425622600,0,1,0,1,1
img_02_425637700,0,1,0,1,1
img_02_425637800,0,1,0,1,1
img_02_425637900,0,1,0,1,1
img_02_425638500,0,0,1,1,1
img_02_425640000,0,1,0,1,1
img_02_425640100,0,0,1,1,1
img_02_425644600,0,1,0,1,1
img_02_427146700,0,1,0,1,1
img_02_431854300,0,0,1,1,1
img_02_432220200,0,1,0,1,1
img_02_435974400,0,1,0,1,1
img_02_436068400,0,1,0,1,1
img_02_436068500,0,1,0,1,1
img_02_436150100,0,1,0,1,1
img_02_436151900,0,1,0,1,1
img_02_436164700,0,1,0,1,1
img_02_436165600,0,1,0,1,1
img_02_436183700,0,1,0,1,1
img_02_436185000,0,1,0,1,1
img_02_436185500,0,1,0,1,1
img_02_436185700,0,1,0,1,1
img_02_4402116500,0,0,1,1,1
img_02_4402116700,0,0,1,1,1
img_02_4402117200,0,0,1,1,1
img_02_4402329000,0,0,1,1,1
img_02_4402329100,0,1,0,1,1
img_02_4402541100,0,1,0,1,1
img_02_4402766800,0,1,0,1,1
img_02_4402785600,0,1,0,1,1
img_02_4402818600,0,0,1,1,1
img_02_4402851700,1,0,0,1,1
img_02_4402852400,0,1,0,1,1
img_02_4402852500,0,1,0,1,1
img_02_4403466000,0,0,1,1,1
img_02_4403955000,0,1,0,1,1
img_02_4404612700,0,1,0,1,1
img_02_4404892700,0,1,0,1,1
img_02_4405356600,1,0,0,1,1
img_02_4405377500,0,1,0,1,1
img_02_4406430100,0,1,0,1,1
img_02_4406446700,1,0,0,1,1
img_02_4406743300,0,1,0,1,1
img_02_SIS001574,0,1,0,1,1
img_02_SIS002356,0,1,0,1,1
img_03_3402564500,0,1,0,1,1
img_03_3402616100,0,1,0,1,1
img_03_3402616900,0,1,0,1,1
img_03_3402617200,0,1,0,1,1
img_03_3402617800,0,1,0,1,1
img_03_3403331900,0,1,0,1,1
img_03_3403392000,0,1,0,1,1
img_03_3403392100,0,1,0,1,1
img_03_3403393700,0,1,0,1,1
img_03_3403393800,0,1,0,1,1
img_03_3403394000,0,1,0,1,1
img_03_3403394100,0,1,0,1,1
img_03_3403394800,0,1,0,1,1
img_03_3403395700,0,1,0,1,1
img_03_3403396800,0,0,1,1,1
img_03_3403397300,0,0,1,1,1
img_03_3403397500,0,1,0,1,1
img_03_3403399200,1,0,0,1,1
img_03_3403399500,0,1,0,1,1
img_03_3403400200,0,1,0,1,1
img_03_3403400500,0,1,0,1,1
img_03_3403400600,0,0,1,1,1
img_03_3403401700,1,0,0,1,1
img_03_3403401800,0,1,0,1,1
img_03_3403401900,0,0,1,1,1
img_03_3403402100,1,0,0,1,1
img_03_3403402800,0,0,1,1,1
img_03_3403402900,0,1,0,1,1
img_03_3403403300,0,1,0,1,1
img_03_3403403500,0,1,0,1,1
img_03_3403403700,0,1,0,1,1
img_03_3403404300,0,1,0,1,1
img_03_3403404800,0,1,0,1,1
img_03_3403405900,0,1,0,1,1
img_03_3403406000,0,1,0,1,1
img_03_3436786500,0,0,1,1,1
img_03_3437006100,0,1,0,1,1
img_03_3437006900,0,1,0,1,1
img_03_424712600,0,1,0,1,1
img_03_424798200,0,1,0,1,1
img_03_424799200,0,0,1,1,1
img_03_424799300,0,1,0,1,1
img_03_424826100,0,1,0,1,1
img_03_424826300,0,0,1,1,1
img_03_425003700,0,0,1,1,1
img_03_425004200,0,1,0,1,1
img_03_425005700,0,1,0,1,1
img_03_425234000,0,1,0,1,1
img_03_425238500,0,1,0,1,1
img_03_425243200,0,1,0,1,1
img_03_425243400,0,1,0,1,1
img_03_425364500,1,0,0,1,1
img_03_425383400,0,1,0,1,1
img_03_425389800,0,0,1,1,1
img_03_425390000,0,0,1,1,1
img_03_425390700,0,1,0,1,1
img_03_425391100,0,1,0,1,1
img_03_425391900,0,1,0,1,1
img_03_425501100,0,1,0,1,1
img_03_425501700,1,0,0,1,1
img_03_425501900,0,1,0,1,1
img_03_425502200,0,0,1,1,1
img_03_425502300,0,1,0,1,1
img_03_425502600,0,0,1,1,1
img_03_425502700,0,1,0,1,1
img_03_425503000,1,0,0,1,1
img_03_425503200,0,0,1,1,1
img_03_425503400,0,1,0,1,1
img_03_425503600,0,1,0,1,1
img_03_425503800,0,1,0,1,1
img_03_425505100,1,0,0,1,1
img_03_425505700,0,1,0,1,1
img_03_425505900,0,1,0,1,1
img_03_425506300,0,1,0,1,1
img_03_425506400,0,1,0,1,1
img_03_425507200,0,0,1,1,1
img_03_425507400,0,1,0,1,1
img_03_425507600,0,0,1,1,1
img_03_425508100,1,0,0,1,1
img_03_425508200,1,0,0,1,1
img_03_425508300,0,1,0,1,1
img_03_425613600,0,1,0,1,1
img_03_425613700,0,1,0,1,1
img_03_425614400,0,0,1,1,1
img_03_425614600,1,0,0,1,1
img_03_425616200,0,1,0,1,1
img_03_425616500,0,1,0,1,1
img_03_425620300,0,1,0,1,1
img_03_425622400,0,1,0,1,1
img_03_425622700,0,1,0,1,1
img_03_425637700,0,1,0,1,1
img_03_425637800,0,0,1,1,1
img_03_425639800,0,1,0,1,1
img_03_425639900,0,1,0,1,1
img_03_425640000,1,0,0,1,1
img_03_425640100,0,0,1,1,1
img_03_425644100,0,1,0,1,1
img_03_425644200,0,1,0,1,1
img_03_436068100,0,0,1,1,1
img_03_436068400,0,1,0,1,1
img_03_436068500,0,1,0,1,1
img_03_436068600,0,1,0,1,1
img_03_436150100,1,0,0,1,1
img_03_436156500,0,0,1,1,1
img_03_436164300,0,1,0,1,1
img_03_436165200,1,0,0,1,1
img_03_436185000,0,0,1,1,1
img_03_436185700,0,0,1,1,1
img_03_4401440300,0,1,0,1,1
img_03_4402117000,0,0,1,1,1
img_03_4402117400,0,1,0,1,1
img_03_4402270500,0,1,0,1,1
img_03_4402329000,0,1,0,1,1
img_03_4402541500,0,1,0,1,1
img_03_4402624500,0,0,1,1,1
img_03_4402766600,0,1,0,1,1
img_03_4402766800,0,1,0,1,1
img_03_4402766900,0,1,0,1,1
img_03_4402785000,0,1,0,1,1
img_03_4403465900,0,1,0,1,1
img_03_4403466500,0,1,0,1,1
img_03_4403466600,0,1,0,1,1
img_03_4403715000,0,0,1,1,1
img_03_4403956700,0,1,0,1,1
img_03_4404374100,0,1,0,1,1
img_03_4404374300,0,1,0,1,1
img_03_4404376300,0,1,0,1,1
img_03_4404612700,0,1,0,1,1
img_03_4404892800,0,1,0,1,1
img_03_4405000700,0,0,1,1,1
img_03_4405356500,0,1,0,1,1
img_03_4405964400,0,1,0,1,1
img_03_4405964900,0,0,1,1,1
img_03_4406424600,0,1,0,1,1
img_03_4406425000,0,1,0,1,1
img_03_4406425200,0,0,1,1,1
img_03_4406562900,0,1,0,1,1
img_03_4406742300,1,0,0,1,1
img_03_4406743300,1,0,0,1,1
img_03_4406772100,1,0,0,1,1
img_03_4406783500,1,0,0,1,1
img_03_4406846600,0,0,1,1,1
img_03_SIS001494,0,1,0,1,1
img_03_SIS001559,0,0,1,1,1
img_03_SIS001561,0,1,0,1,1
img_04_3402618000,0,1,0,1,1
img_04_3436787300,0,1,0,1,1
img_04_3436814900,0,1,0,1,1
img_04_3437009100,1,0,0,1,1
img_04_424798500,0,0,1,1,1
img_04_424799200,0,1,0,1,1
img_04_424799300,0,0,1,1,1
img_04_424799400,0,1,0,1,1
img_04_424799600,0,0,1,1,1
img_04_424825700,0,1,0,1,1
img_04_424826800,0,1,0,1,1
img_04_425003700,1,0,0,1,1
img_04_425237800,0,0,1,1,1
img_04_425242900,0,1,0,1,1
img_04_425243100,0,0,1,1,1
img_04_425380400,0,1,0,1,1
img_04_425380900,0,0,1,1,1
img_04_425382400,0,1,0,1,1
img_04_425382600,0,1,0,1,1
img_04_425391100,0,1,0,1,1
img_04_425391600,0,0,1,1,1
img_04_425392000,0,1,0,1,1
img_04_425392200,0,1,0,1,1
img_04_425392600,0,1,0,1,1
img_04_425501900,0,1,0,1,1
img_04_425502600,0,1,0,1,1
img_04_425503000,0,1,0,1,1
img_04_425503200,0,1,0,1,1
img_04_425503500,0,1,0,1,1
img_04_425504800,0,0,1,1,1
img_04_425505000,0,1,0,1,1
img_04_425505400,0,1,0,1,1
img_04_425506300,0,1,0,1,1
img_04_425508100,0,1,0,1,1
img_04_425508400,1,0,0,1,1
img_04_425508600,0,1,0,1,1
img_04_425608200,0,0,1,1,1
img_04_425609500,0,1,0,1,1
img_04_425613700,0,0,1,1,1
img_04_425614600,0,1,0,1,1
img_04_425637500,0,1,0,1,1
img_04_425637700,0,1,0,1,1
img_04_425637800,1,0,0,1,1
img_04_425637900,0,1,0,1,1
img_04_431854200,0,1,0,1,1
img_04_432220200,0,1,0,1,1
img_04_435974400,0,1,0,1,1
img_04_436068600,0,0,1,1,1
img_04_436068700,0,0,1,1,1
img_04_436162900,0,1,0,1,1
img_04_436164000,0,1,0,1,1
img_04_436165600,0,1,0,1,1
img_04_4401672100,0,1,0,1,1
img_04_4402116700,0,1,0,1,1
img_04_4402117000,0,1,0,1,1
img_04_4402117300,0,1,0,1,1
img_04_4402540800,0,0,1,1,1
img_04_4402541000,0,1,0,1,1
img_04_4402766700,0,0,1,1,1
img_04_4402785000,0,0,1,1,1
img_04_4402787600,0,1,0,1,1
img_04_4402818600,0,0,1,1,1
img_04_4402831800,0,1,0,1,1
img_04_4402851900,0,1,0,1,1
img_04_4403453700,0,1,0,1,1
img_04_4403690400,0,1,0,1,1
img_04_4405001100,1,0,0,1,1
img_04_4406772100,0,1,0,1,1
img_05_3403334300,1,0,0,1,1
img_05_3403334500,0,0,1,1,1
img_05_3403334600,0,1,0,1,1
img_05_3403334800,0,1,0,1,1
img_05_3436789300,1,0,0,1,1
img_05_424799300,0,1,0,1,1
img_05_424826300,0,0,1,1,1
img_05_425244300,0,1,0,1,1
img_05_425244400,0,1,0,1,1
img_05_425391800,0,1,0,1,1
img_05_425392200,0,1,0,1,1
img_05_425502100,0,1,0,1,1
img_05_425502200,0,1,0,1,1
img_05_425502700,0,1,0,1,1
img_05_425503200,0,1,0,1,1
img_05_425503500,0,1,0,1,1
img_05_425503600,0,1,0,1,1
img_05_425504800,0,1,0,1,1
img_05_425504900,1,0,0,1,1
img_05_425505000,1,0,0,1,1
img_05_425505900,0,1,0,1,1
img_05_425506100,0,1,0,1,1
img_05_425609500,0,1,0,1,1
img_05_425613500,0,0,1,1,1
img_05_425613800,0,0,1,1,1
img_05_425614700,0,0,1,1,1
img_05_425616200,0,1,0,1,1
img_05_425622400,0,1,0,1,1
img_05_425637500,0,0,1,1,1
img_05_425637700,0,1,0,1,1
img_05_425637900,0,1,0,1,1
img_05_425640000,0,0,1,1,1
img_05_425640100,0,1,0,1,1
img_05_436068100,1,0,0,1,1
img_05_436164700,0,1,0,1,1
img_05_4402542900,0,1,0,1,1
img_05_4402719200,0,1,0,1,1
img_05_4402766800,0,1,0,1,1
img_05_4402826400,0,0,1,1,1
img_05_4402842500,0,0,1,1,1
img_05_4403831800,0,0,1,1,1
img_05_4405228100,0,0,1,1,1
img_05_4405356600,0,1,0,1,1
img_05_4405356800,0,1,0,1,1
img_05_4405381400,0,1,0,1,1
img_05_4406425700,0,0,1,1,1
img_05_4406562900,0,1,0,1,1
img_05_4406772100,0,1,0,1,1
img_06_3402616100,0,1,0,1,1
img_06_3402617400,0,1,0,1,1
img_06_3402617500,0,1,0,1,1
img_06_3403328800,0,0,1,1,1
img_06_3403328900,0,1,0,1,1
img_06_3403329100,0,1,0,1,1
img_06_3403331500,0,1,0,1,1
img_06_3403331800,0,0,1,1,1
img_06_3403332000,0,1,0,1,1
img_06_3403333000,0,1,0,1,1
img_06_3403333200,0,1,0,1,1
img_06_3403333400,0,1,0,1,1
img_06_3403333800,0,0,1,1,1
img_06_3403333900,0,0,1,1,1
img_06_3403334000,0,1,0,1,1
img_06_3403334900,0,1,0,1,1
img_06_3403337800,0,1,0,1,1
img_06_3403338100,0,1,0,1,1
img_06_3403338800,1,0,0,1,1
img_06_3403341200,0,1,0,1,1
img_06_3403391400,0,1,0,1,1
img_06_3403392000,0,1,0,1,1
img_06_3403392100,1,0,0,1,1
img_06_3403393200,0,1,0,1,1
img_06_3403393800,0,1,0,1,1
img_06_3403394100,0,1,0,1,1
img_06_3403395200,0,1,0,1,1
img_06_3403395500,0,1,0,1,1
img_06_3403397400,0,0,1,1,1
img_06_3403397600,0,1,0,1,1
img_06_3403398200,0,1,0,1,1
img_06_3403398500,0,1,0,1,1
img_06_3403399100,0,1,0,1,1
img_06_3403399400,0,0,1,1,1
img_06_3403399500,0,1,0,1,1
img_06_3403399600,0,1,0,1,1
img_06_3403399700,0,0,1,1,1
img_06_3403399900,1,0,0,1,1
img_06_3403400500,0,0,1,1,1
img_06_3403400800,0,1,0,1,1
img_06_3403401000,0,0,1,1,1
img_06_3403402100,0,0,1,1,1
img_06_3403403400,0,1,0,1,1
img_06_3403403700,0,1,0,1,1
img_06_3403405000,1,0,0,1,1
img_06_3403405800,1,0,0,1,1
img_06_3403406000,0,1,0,1,1
img_06_3436642500,0,1,0,1,1
img_06_3436814600,0,1,0,1,1
img_06_3436815600,0,1,0,1,1
img_06_3437011100,0,1,0,1,1
img_06_3437011300,0,1,0,1,1
img_06_424798500,0,1,0,1,1
img_06_424799200,0,1,0,1,1
img_06_424799300,1,0,0,1,1
img_06_424799400,0,1,0,1,1
img_06_424799500,0,0,1,1,1
img_06_425003700,0,1,0,1,1
img_06_425243200,0,1,0,1,1
img_06_425382900,0,1,0,1,1
img_06_425389800,0,1,0,1,1
img_06_425389900,0,0,1,1,1
img_06_425390200,0,1,0,1,1
img_06_425390700,0,1,0,1,1
img_06_425391700,0,1,0,1,1
img_06_425392300,1,0,0,1,1
img_06_425392500,0,1,0,1,1
img_06_425501100,1,0,0,1,1
img_06_425501700,0,1,0,1,1
img_06_425501800,1,0,0,1,1
img_06_425501900,0,1,0,1,1
img_06_425502100,1,0,0,1,1
img_06_425502700,0,1,0,1,1
img_06_425502900,0,0,1,1,1
img_06_425503000,0,1,0,1,1
