split_a,image_name_a,image_path_a,split_b,image_name_b,image_path_b,phash_a,phash_b,hamming_distance
train,img_01_425005700_00158.jpg,D:\project_root\data\processed\images\train\img_01_425005700_00158.jpg,test,img_01_425005700_00168.jpg,D:\project_root\data\processed\images\test\img_01_425005700_00168.jpg,879e7860879a8797,879e78608f92879e,4
train,img_01_425005700_00181.jpg,D:\project_root\data\processed\images\train\img_01_425005700_00181.jpg,test,img_01_425005700_00162.jpg,D:\project_root\data\processed\images\test\img_01_425005700_00162.jpg,8793786c87938793,8792786c8792879f,4
train,img_01_425005700_00189.jpg,D:\project_root\data\processed\images\train\img_01_425005700_00189.jpg,test,img_01_425005700_00441.jpg,D:\project_root\data\processed\images\test\img_01_425005700_00441.jpg,877c7883877c8738,8778788787788778,4
train,img_01_425005700_00309.jpg,D:\project_root\data\processed\images\train\img_01_425005700_00309.jpg,test,img_01_425005700_00441.jpg,D:\project_root\data\processed\images\test\img_01_425005700_00441.jpg,87f87807837887f8,8778788787788778,4
train,img_01_425005700_00336.jpg,D:\project_root\data\processed\images\train\img_01_425005700_00336.jpg,test,img_01_425005700_00444.jpg,D:\project_root\data\processed\images\test\img_01_425005700_00444.jpg,870778fc872d8707,870f78f8870f8707,4
train,img_01_425005700_00384.jpg,D:\project_root\data\processed\images\train\img_01_425005700_00384.jpg,test,img_01_425005700_00444.jpg,D:\project_root\data\processed\images\test\img_01_425005700_00444.jpg,870778fc871b8707,870f78f8870f8707,4
train,img_01_425005700_00396.jpg,D:\project_root\data\processed\images\train\img_01_425005700_00396.jpg,test,img_01_425005700_00444.jpg,D:\project_root\data\processed\images\test\img_01_425005700_00444.jpg,870778f88f178707,870f78f8870f8707,4
train,img_01_425503300_00017.jpg,D:\project_root\data\processed\images\train\img_01_425503300_00017.jpg,test,img_01_425503000_00017.jpg,D:\project_root\data\processed\images\test\img_01_425503000_00017.jpg,993366dc9c0d9933,993366cc8c0f9973,4
train,img_04_425502700_00017.jpg,D:\project_root\data\processed\images\train\img_04_425502700_00017.jpg,test,img_08_425008000_00823.jpg,D:\project_root\data\processed\images\test\img_08_425008000_00823.jpg,c9993664d999cc99,cd993266d999cc89,4
train,img_05_425505500_00052.jpg,D:\project_root\data\processed\images\train\img_05_425505500_00052.jpg,test,img_05_436068100_00002.jpg,D:\project_root\data\processed\images\test\img_05_436068100_00002.jpg,a4695b96b46da94a,a4695b96b569aa4a,4
train,img_05_425614600_00470.jpg,D:\project_root\data\processed\images\train\img_05_425614600_00470.jpg,test,img_05_436068100_00002.jpg,D:\project_root\data\processed\images\test\img_05_436068100_00002.jpg,a4695b96b469a94b,a4695b96b569aa4a,4
train,img_08_4406424900_00001.jpg,D:\project_root\data\processed\images\train\img_08_4406424900_00001.jpg,test,img_08_425614700_00001.jpg,D:\project_root\data\processed\images\test\img_08_425614700_00001.jpg,f8e0070ff0c0fcf8,f8e0071fe0c0fdf0,4
train,img_01_425005700_00199.jpg,D:\project_root\data\processed\images\train\img_01_425005700_00199.jpg,val,img_01_425005700_00565.jpg,D:\project_root\data\processed\images\val\img_01_425005700_00565.jpg,870778fd87638706,870378fc87638787,4
train,img_01_425005700_00300.jpg,D:\project_root\data\processed\images\train\img_01_425005700_00300.jpg,val,img_01_425005700_00290.jpg,D:\project_root\data\processed\images\val\img_01_425005700_00290.jpg,871e78f1871c870f,871c78f38f1c8707,4
train,img_01_425005700_00321.jpg,D:\project_root\data\processed\images\train\img_01_425005700_00321.jpg,val,img_01_425005700_00285.jpg,D:\project_root\data\processed\images\val\img_01_425005700_00285.jpg,87f8780383f887f8,87f8780185f887fc,4
train,img_01_425005700_00321.jpg,D:\project_root\data\processed\images\train\img_01_425005700_00321.jpg,val,img_01_425005700_00497.jpg,D:\project_root\data\processed\images\val\img_01_425005700_00497.jpg,87f8780383f887f8,87f87801c7f087f8,4
train,img_01_425005700_00327.jpg,D:\project_root\data\processed\images\train\img_01_425005700_00327.jpg,val,img_01_425005700_00285.jpg,D:\project_root\data\processed\images\val\img_01_425005700_00285.jpg,87f8780587f087f8,87f8780185f887fc,4
train,img_01_425005700_00327.jpg,D:\project_root\data\processed\images\train\img_01_425005700_00327.jpg,val,img_01_425005700_00471.jpg,D:\project_root\data\processed\images\val\img_01_425005700_00471.jpg,87f8780587f087f8,87f87807837887f8,4
train,img_01_425005700_00333.jpg,D:\project_root\data\processed\images\train\img_01_425005700_00333.jpg,val,img_01_425005700_00497.jpg,D:\project_root\data\processed\images\val\img_01_425005700_00497.jpg,87f8780183f687f8,87f87801c7f087f8,4
train,img_01_425005700_00384.jpg,D:\project_root\data\processed\images\train\img_01_425005700_00384.jpg,val,img_01_425005700_00312.jpg,D:\project_root\data\processed\images\val\img_01_425005700_00312.jpg,870778fc871b8707,870b78f4871f8707,4
train,img_01_425005700_00465.jpg,D:\project_root\data\processed\images\train\img_01_425005700_00465.jpg,val,img_01_425005700_00471.jpg,D:\project_root\data\processed\images\val\img_01_425005700_00471.jpg,87f8780786f887f0,87f87807837887f8,4
train,img_01_425005700_00503.jpg,D:\project_root\data\processed\images\train\img_01_425005700_00503.jpg,val,img_01_425005700_00471.jpg,D:\project_root\data\processed\images\val\img_01_425005700_00471.jpg,87f87803c3f087f8,87f87807837887f8,4
train,img_01_425007500_01453.jpg,D:\project_root\data\processed\images\train\img_01_425007500_01453.jpg,val,img_05_425637800_00891.jpg,D:\project_root\data\processed\images\val\img_05_425637800_00891.jpg,9cce63318ece98cc,9c4e63b18e4e98ce,4
train,img_01_425503100_00018.jpg,D:\project_root\data\processed\images\train\img_01_425503100_00018.jpg,val,img_01_425392100_00018.jpg,D:\project_root\data\processed\images\val\img_01_425392100_00018.jpg,998c66739c5e998c,998c66739c37998c,4
train,img_01_425505100_00017.jpg,D:\project_root\data\processed\images\train\img_01_425505100_00017.jpg,val,img_01_436067700_00689.jpg,D:\project_root\data\processed\images\val\img_01_436067700_00689.jpg,b66d499292a5b46d,b66d4992926da46d,4
train,img_01_4406743300_00166.jpg,D:\project_root\data\processed\images\train\img_01_4406743300_00166.jpg,val,img_01_4406743300_00152.jpg,D:\project_root\data\processed\images\val\img_01_4406743300_00152.jpg,9932665d98b79962,9932664d99b39972,4
train,img_02_SIS001522_00568.jpg,D:\project_root\data\processed\images\train\img_02_SIS001522_00568.jpg,val,img_01_425005700_00337.jpg,D:\project_root\data\processed\images\val\img_01_425005700_00337.jpg,879c78639e9c870e,879c7863879c872e,4
train,img_04_425622400_00002.jpg,D:\project_root\data\processed\images\train\img_04_425622400_00002.jpg,val,img_08_424799400_01080.jpg,D:\project_root\data\processed\images\val\img_08_424799400_01080.jpg,fff80003f040fff0,fff00007f800fff0,4
train,img_04_436068100_00077.jpg,D:\project_root\data\processed\images\train\img_04_436068100_00077.jpg,val,img_04_436068100_00003.jpg,D:\project_root\data\processed\images\val\img_04_436068100_00003.jpg,e3c71c18e3c7e3c0,e3c31c38e387e3e0,4
train,img_04_436162900_00016.jpg,D:\project_root\data\processed\images\train\img_04_436162900_00016.jpg,val,img_04_436163100_00005.jpg,D:\project_root\data\processed\images\val\img_04_436163100_00005.jpg,e6c21918e6c7e678,e6e31918e4c7e638,4
train,img_04_4402541000_00001.jpg,D:\project_root\data\processed\images\train\img_04_4402541000_00001.jpg,val,img_04_4402540800_01484.jpg,D:\project_root\data\processed\images\val\img_04_4402540800_01484.jpg,e7c71838e2c7e720,e7c71838e6c7e601,4
train,img_04_4406645900_00002.jpg,D:\project_root\data\processed\images\train\img_04_4406645900_00002.jpg,val,img_08_424799400_01080.jpg,D:\project_root\data\processed\images\val\img_08_424799400_01080.jpg,fef00107f080fff0,fff00007f800fff0,4
train,img_05_3403334600_00682.jpg,D:\project_root\data\processed\images\train\img_05_3403334600_00682.jpg,val,img_01_4402724300_00001.jpg,D:\project_root\data\processed\images\val\img_01_4402724300_00001.jpg,b2b24d49b2b2b396,b3b64c49b2b2b316,4
train,img_05_424799300_01132.jpg,D:\project_root\data\processed\images\train\img_05_424799300_01132.jpg,val,img_05_4402842500_01044.jpg,D:\project_root\data\processed\images\val\img_05_4402842500_01044.jpg,aaaa55555aaaa9a5,aaaa555552aaab95,4
train,img_05_425244400_00881.jpg,D:\project_root\data\processed\images\train\img_05_425244400_00881.jpg,val,img_05_4406743300_00384.jpg,D:\project_root\data\processed\images\val\img_05_4406743300_00384.jpg,9867679b89669865,9866679999669867,4
train,img_05_425503800_00053.jpg,D:\project_root\data\processed\images\train\img_05_425503800_00053.jpg,val,img_05_425503400_00053.jpg,D:\project_root\data\processed\images\val\img_05_425503400_00053.jpg,99cc66338c6e99cc,99cc66738cec998c,4
train,img_05_425503800_00053.jpg,D:\project_root\data\processed\images\train\img_05_425503800_00053.jpg,val,img_05_425640000_00634.jpg,D:\project_root\data\processed\images\val\img_05_425640000_00634.jpg,99cc66338c6e99cc,98cc67338c6799cc,4
train,img_05_425504800_00052.jpg,D:\project_root\data\processed\images\train\img_05_425504800_00052.jpg,val,img_01_436067700_00689.jpg,D:\project_root\data\processed\images\val\img_01_436067700_00689.jpg,b26d4d93926ca46d,b66d4992926da46d,4
train,img_05_425609500_00001.jpg,D:\project_root\data\processed\images\train\img_05_425609500_00001.jpg,val,img_05_425503400_00053.jpg,D:\project_root\data\processed\images\val\img_05_425503400_00053.jpg,99cc67338cce998c,99cc66738cec998c,4
train,img_05_425622400_00001.jpg,D:\project_root\data\processed\images\train\img_05_425622400_00001.jpg,val,img_05_4406645900_00121.jpg,D:\project_root\data\processed\images\val\img_05_4406645900_00121.jpg,aaa95554aaa9aaab,aaab5554aaabaaa1,4
train,img_05_4406645900_00038.jpg,D:\project_root\data\processed\images\train\img_05_4406645900_00038.jpg,val,img_05_4406645900_00121.jpg,D:\project_root\data\processed\images\val\img_05_4406645900_00121.jpg,aaab5554aaabaa51,aaab5554aaabaaa1,4
train,img_05_4406645900_00042.jpg,D:\project_root\data\processed\images\train\img_05_4406645900_00042.jpg,val,img_05_4406645900_00043.jpg,D:\project_root\data\processed\images\val\img_05_4406645900_00043.jpg,aa5555aaaa55aa6a,aa5555aaaa55aaa9,4
train,img_05_4406743300_00424.jpg,D:\project_root\data\processed\images\train\img_05_4406743300_00424.jpg,val,img_05_4406743300_00480.jpg,D:\project_root\data\processed\images\val\img_05_4406743300_00480.jpg,98996766999b98ac,98996766989b986d,4
train,img_05_4406743300_00448.jpg,D:\project_root\data\processed\images\train\img_05_4406743300_00448.jpg,val,img_05_4406743300_00384.jpg,D:\project_root\data\processed\images\val\img_05_4406743300_00384.jpg,98666799996698ce,9866679999669867,4
train,img_05_4406743300_00507.jpg,D:\project_root\data\processed\images\train\img_05_4406743300_00507.jpg,val,img_05_4406743300_00384.jpg,D:\project_root\data\processed\images\val\img_05_4406743300_00384.jpg,986e6791996e9866,9866679999669867,4
train,img_05_4406743300_00516.jpg,D:\project_root\data\processed\images\train\img_05_4406743300_00516.jpg,val,img_05_4406743300_00480.jpg,D:\project_root\data\processed\images\val\img_05_4406743300_00480.jpg,98996767989a986b,98996766989b986d,4
train,img_05_4406743300_00520.jpg,D:\project_root\data\processed\images\train\img_05_4406743300_00520.jpg,val,img_05_4406743300_00608.jpg,D:\project_root\data\processed\images\val\img_05_4406743300_00608.jpg,98cc67b3986e9895,984c67b3996e9899,4
train,img_05_4406743300_00849.jpg,D:\project_root\data\processed\images\train\img_05_4406743300_00849.jpg,val,img_05_4406743300_00384.jpg,D:\project_root\data\processed\images\val\img_05_4406743300_00384.jpg,9867679898679867,9866679999669867,4
train,img_07_4405965200_00151.jpg,D:\project_root\data\processed\images\train\img_07_4405965200_00151.jpg,val,img_07_4406645900_00531.jpg,D:\project_root\data\processed\images\val\img_07_4406645900_00531.jpg,d5a52a1ad5a5d54a,d5e12a1ad5a5d5c2,4
train,img_07_4405965200_00151.jpg,D:\project_root\data\processed\images\train\img_07_4405965200_00151.jpg,val,img_07_4406645900_00676.jpg,D:\project_root\data\processed\images\val\img_07_4406645900_00676.jpg,d5a52a1ad5a5d54a,d5a12a5ed5a5d542,4
train,img_07_4406645900_00560.jpg,D:\project_root\data\processed\images\train\img_07_4406645900_00560.jpg,val,img_07_4406645900_00620.jpg,D:\project_root\data\processed\images\val\img_07_4406645900_00620.jpg,d54a2ab5d44ad5d2,d54a2ab5d54ad51a,4
train,img_07_4406645900_00614.jpg,D:\project_root\data\processed\images\train\img_07_4406645900_00614.jpg,val,img_07_4406645900_00687.jpg,D:\project_root\data\processed\images\val\img_07_4406645900_00687.jpg,d55a2aa5d550d55a,d55a2a25d594d55a,4
train,img_08_425502300_00053.jpg,D:\project_root\data\processed\images\train\img_08_425502300_00053.jpg,val,img_04_425503600_00017.jpg,D:\project_root\data\processed\images\val\img_04_425503600_00017.jpg,cce633193266cccd,ccc633193966cccd,4
train,img_08_425503500_00054.jpg,D:\project_root\data\processed\images\train\img_08_425503500_00054.jpg,val,img_08_425503400_00053.jpg,D:\project_root\data\processed\images\val\img_08_425503400_00053.jpg,e48c1b63cc9ce6cc,c49c3b63cc98e6cc,4
train,img_08_425505000_00051.jpg,D:\project_root\data\processed\images\train\img_08_425505000_00051.jpg,val,img_08_425505100_00053.jpg,D:\project_root\data\processed\images\val\img_08_425505100_00053.jpg,f1c30e1ce3c7f0c1,f1c30e3ce383f0e1,4
train,img_08_425508200_00402.jpg,D:\project_root\data\processed\images\train\img_08_425508200_00402.jpg,val,img_08_425508200_00359.jpg,D:\project_root\data\processed\images\val\img_08_425508200_00359.jpg,f1e00e1ff1e0f1b0,f1c00e1ff1c1f1f0,4
train,img_08_4405134000_01043.jpg,D:\project_root\data\processed\images\train\img_08_4405134000_01043.jpg,val,img_08_4406743300_00001.jpg,D:\project_root\data\processed\images\val\img_08_4406743300_00001.jpg,c63339cce333cc8c,c63339ccf233c68c,4
train,img_08_4406424900_00001.jpg,D:\project_root\data\processed\images\train\img_08_4406424900_00001.jpg,val,img_04_424799300_01133.jpg,D:\project_root\data\processed\images\val\img_04_424799300_01133.jpg,f8e0070ff0c0fcf8,fce0030ff0c0fef0,4
train,img_08_4406743300_00406.jpg,D:\project_root\data\processed\images\train\img_08_4406743300_00406.jpg,val,img_08_4406743300_00424.jpg,D:\project_root\data\processed\images\val\img_08_4406743300_00424.jpg,cc6a3397cea8cc52,cc6a33d5cca9cc52,4
val,img_01_425005700_00312.jpg,D:\project_root\data\processed\images\val\img_01_425005700_00312.jpg,test,img_01_425005700_00444.jpg,D:\project_root\data\processed\images\test\img_01_425005700_00444.jpg,870b78f4871f8707,870f78f8870f8707,4
val,img_01_425005700_00471.jpg,D:\project_root\data\processed\images\val\img_01_425005700_00471.jpg,test,img_01_425005700_00441.jpg,D:\project_root\data\processed\images\test\img_01_425005700_00441.jpg,87f87807837887f8,8778788787788778,4
val,img_01_425392100_00018.jpg,D:\project_root\data\processed\images\val\img_01_425392100_00018.jpg,test,img_01_425609500_00001.jpg,D:\project_root\data\processed\images\test\img_01_425609500_00001.jpg,998c66739c37998c,998c66339ce7998c,4
val,img_06_425237000_00673.jpg,D:\project_root\data\processed\images\val\img_06_425237000_00673.jpg,test,img_06_4406645900_00480.jpg,D:\project_root\data\processed\images\test\img_06_4406645900_00480.jpg,c0333fccc533c0bd,c0333fcec533c299,4
