image_path,image_width,image_height,class_name,class_id,xmin,ymin,xmax,ymax,source_annotation,is_valid_raw,image_filename,xml_file,bbox_w,bbox_h,min_side,bbox_area,image_area,bbox_area_ratio,orig_image_width,orig_image_height,square_size,pad_left,pad_top,pad_right,pad_bottom,is_valid_squared
D:\project_root\data\processed\images\all\img_01_424825700_00001.jpg,2048,2048,3_yueyawan,3,1199,1298,1391,1524,voc_xml,True,img_01_424825700_00001.jpg,D:\project_root\data\raw\archive\lable\img_01_424825700_00001.xml,192,226,192,43392,2048000,0.0211875,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_424826100_00001.jpg,2048,2048,3_yueyawan,3,1210,1240,1415,1522,voc_xml,True,img_01_424826100_00001.jpg,D:\project_root\data\raw\archive\lable\img_01_424826100_00001.xml,205,282,205,57810,2048000,0.0282275390625,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_424826300_00950.jpg,2048,2048,3_yueyawan,3,1131,525,1432,956,voc_xml,True,img_01_424826300_00950.jpg,D:\project_root\data\raw\archive\lable\img_01_424826300_00950.xml,301,431,301,129731,2048000,0.06334521484375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_424826800_00002.jpg,2048,2048,3_yueyawan,3,1237,525,1487,851,voc_xml,True,img_01_424826800_00002.jpg,D:\project_root\data\raw\archive\lable\img_01_424826800_00002.xml,250,326,250,81500,2048000,0.039794921875,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_424826800_00003.jpg,2048,2048,3_yueyawan,3,1256,1319,1470,1524,voc_xml,True,img_01_424826800_00003.jpg,D:\project_root\data\raw\archive\lable\img_01_424826800_00003.xml,214,205,205,43870,2048000,0.0214208984375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_424995500_00255.jpg,2048,2048,4_shuiban,4,1169,841,1577,1333,voc_xml,True,img_01_424995500_00255.jpg,D:\project_root\data\raw\archive\lable\img_01_424995500_00255.xml,408,492,408,200736,2048000,0.098015625,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_424995500_00289.jpg,2048,2048,4_shuiban,4,1240,532,1672,852,voc_xml,True,img_01_424995500_00289.jpg,D:\project_root\data\raw\archive\lable\img_01_424995500_00289.xml,432,320,320,138240,2048000,0.0675,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425000300_00103.jpg,2048,2048,4_shuiban,4,1191,851,1591,1268,voc_xml,True,img_01_425000300_00103.jpg,D:\project_root\data\raw\archive\lable\img_01_425000300_00103.xml,400,417,400,166800,2048000,0.0814453125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425000300_00103.jpg,2048,2048,4_shuiban,4,1223,648,1294,737,voc_xml,True,img_01_425000300_00103.jpg,D:\project_root\data\raw\archive\lable\img_01_425000300_00103.xml,71,89,71,6319,2048000,0.00308544921875,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425000300_00103.jpg,2048,2048,4_shuiban,4,1438,552,1500,608,voc_xml,True,img_01_425000300_00103.jpg,D:\project_root\data\raw\archive\lable\img_01_425000300_00103.xml,62,56,56,3472,2048000,0.0016953125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425000300_00520.jpg,2048,2048,4_shuiban,4,1153,941,1608,1456,voc_xml,True,img_01_425000300_00520.jpg,D:\project_root\data\raw\archive\lable\img_01_425000300_00520.xml,455,515,455,234325,2048000,0.11441650390625,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425000300_00630.jpg,2048,2048,4_shuiban,4,1372,525,1564,643,voc_xml,True,img_01_425000300_00630.jpg,D:\project_root\data\raw\archive\lable\img_01_425000300_00630.xml,192,118,118,22656,2048000,0.0110625,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425000300_00743.jpg,2048,2048,4_shuiban,4,1230,525,1760,888,voc_xml,True,img_01_425000300_00743.jpg,D:\project_root\data\raw\archive\lable\img_01_425000300_00743.xml,530,363,363,192390,2048000,0.0939404296875,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00154.jpg,2048,2048,6_siban,6,861,540,1643,1498,voc_xml,True,img_01_425005700_00154.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00154.xml,782,958,782,749156,2048000,0.365798828125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00156.jpg,2048,2048,6_siban,6,762,543,1680,1505,voc_xml,True,img_01_425005700_00156.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00156.xml,918,962,918,883116,2048000,0.431208984375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00158.jpg,2048,2048,6_siban,6,790,604,1656,1466,voc_xml,True,img_01_425005700_00158.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00158.xml,866,862,862,746492,2048000,0.364498046875,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00159.jpg,2048,2048,6_siban,6,818,561,1582,1505,voc_xml,True,img_01_425005700_00159.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00159.xml,764,944,764,721216,2048000,0.35215625,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00162.jpg,2048,2048,6_siban,6,969,630,1551,1386,voc_xml,True,img_01_425005700_00162.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00162.xml,582,756,582,439992,2048000,0.21483984375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00163.jpg,2048,2048,6_siban,6,977,577,1593,1524,voc_xml,True,img_01_425005700_00163.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00163.xml,616,947,616,583352,2048000,0.28483984375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00164.jpg,2048,2048,6_siban,6,950,543,1557,1496,voc_xml,True,img_01_425005700_00164.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00164.xml,607,953,607,578471,2048000,0.28245654296875,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00168.jpg,2048,2048,6_siban,6,956,549,1356,1520,voc_xml,True,img_01_425005700_00168.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00168.xml,400,971,400,388400,2048000,0.1896484375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00172.jpg,2048,2048,6_siban,6,1043,527,1307,1349,voc_xml,True,img_01_425005700_00172.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00172.xml,264,822,264,217008,2048000,0.1059609375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00175.jpg,2048,2048,6_siban,6,1018,549,1353,1289,voc_xml,True,img_01_425005700_00175.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00175.xml,335,740,335,247900,2048000,0.121044921875,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00176.jpg,2048,2048,6_siban,6,1040,558,1515,1315,voc_xml,True,img_01_425005700_00176.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00176.xml,475,757,475,359575,2048000,0.17557373046875,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00181.jpg,2048,2048,6_siban,6,1005,574,1503,1377,voc_xml,True,img_01_425005700_00181.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00181.xml,498,803,498,399894,2048000,0.1952607421875,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00183.jpg,2048,2048,6_siban,6,1008,525,1522,1320,voc_xml,True,img_01_425005700_00183.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00183.xml,514,795,514,408630,2048000,0.1995263671875,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00189.jpg,2048,2048,6_siban,6,1013,561,1535,1299,voc_xml,True,img_01_425005700_00189.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00189.xml,522,738,522,385236,2048000,0.188103515625,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00191.jpg,2048,2048,6_siban,6,997,536,1564,1440,voc_xml,True,img_01_425005700_00191.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00191.xml,567,904,567,512568,2048000,0.25027734375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00192.jpg,2048,2048,6_siban,6,953,548,1285,1466,voc_xml,True,img_01_425005700_00192.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00192.xml,332,918,332,304776,2048000,0.14881640625,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00194.jpg,2048,2048,6_siban,6,969,525,1348,1483,voc_xml,True,img_01_425005700_00194.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00194.xml,379,958,379,363082,2048000,0.1772861328125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00195.jpg,2048,2048,6_siban,6,990,540,1366,1524,voc_xml,True,img_01_425005700_00195.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00195.xml,376,984,376,369984,2048000,0.18065625,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00196.jpg,2048,2048,6_siban,6,987,525,1425,1476,voc_xml,True,img_01_425005700_00196.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00196.xml,438,951,438,416538,2048000,0.2033876953125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00197.jpg,2048,2048,6_siban,6,825,525,1372,1504,voc_xml,True,img_01_425005700_00197.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00197.xml,547,979,547,535513,2048000,0.26148095703125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00198.jpg,2048,2048,6_siban,6,904,525,1486,1460,voc_xml,True,img_01_425005700_00198.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00198.xml,582,935,582,544170,2048000,0.2657080078125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00199.jpg,2048,2048,6_siban,6,956,525,1460,1381,voc_xml,True,img_01_425005700_00199.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00199.xml,504,856,504,431424,2048000,0.21065625,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00200.jpg,2048,2048,6_siban,6,933,525,1508,1481,voc_xml,True,img_01_425005700_00200.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00200.xml,575,956,575,549700,2048000,0.268408203125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00201.jpg,2048,2048,6_siban,6,946,525,1431,1468,voc_xml,True,img_01_425005700_00201.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00201.xml,485,943,485,457355,2048000,0.22331787109375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00202.jpg,2048,2048,6_siban,6,930,569,1490,1472,voc_xml,True,img_01_425005700_00202.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00202.xml,560,903,560,505680,2048000,0.2469140625,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00203.jpg,2048,2048,6_siban,6,1008,587,1528,1524,voc_xml,True,img_01_425005700_00203.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00203.xml,520,937,520,487240,2048000,0.23791015625,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00205.jpg,2048,2048,6_siban,6,923,533,1519,1524,voc_xml,True,img_01_425005700_00205.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00205.xml,596,991,596,590636,2048000,0.288396484375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00207.jpg,2048,2048,6_siban,6,987,543,1579,1492,voc_xml,True,img_01_425005700_00207.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00207.xml,592,949,592,561808,2048000,0.2743203125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00208.jpg,2048,2048,6_siban,6,931,581,1373,1524,voc_xml,True,img_01_425005700_00208.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00208.xml,442,943,442,416806,2048000,0.2035185546875,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00211.jpg,2048,2048,6_siban,6,956,534,1474,1484,voc_xml,True,img_01_425005700_00211.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00211.xml,518,950,518,492100,2048000,0.240283203125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00212.jpg,2048,2048,6_siban,6,995,525,1418,1455,voc_xml,True,img_01_425005700_00212.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00212.xml,423,930,423,393390,2048000,0.1920849609375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00213.jpg,2048,2048,6_siban,6,981,525,1440,1488,voc_xml,True,img_01_425005700_00213.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00213.xml,459,963,459,442017,2048000,0.21582861328125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00221.jpg,2048,2048,6_siban,6,918,930,1515,1492,voc_xml,True,img_01_425005700_00221.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00221.xml,597,562,562,335514,2048000,0.1638251953125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00223.jpg,2048,2048,6_siban,6,1067,641,1520,1415,voc_xml,True,img_01_425005700_00223.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00223.xml,453,774,453,350622,2048000,0.1712021484375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00233.jpg,2048,2048,6_siban,6,846,547,1306,1259,voc_xml,True,img_01_425005700_00233.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00233.xml,460,712,460,327520,2048000,0.159921875,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00239.jpg,2048,2048,6_siban,6,879,568,1430,1400,voc_xml,True,img_01_425005700_00239.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00239.xml,551,832,551,458432,2048000,0.22384375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00240.jpg,2048,2048,6_siban,6,874,597,1375,1524,voc_xml,True,img_01_425005700_00240.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00240.xml,501,927,501,464427,2048000,0.22677099609375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00241.jpg,2048,2048,6_siban,6,923,569,1358,1466,voc_xml,True,img_01_425005700_00241.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00241.xml,435,897,435,390195,2048000,0.19052490234375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00246.jpg,2048,2048,6_siban,6,907,556,1403,1524,voc_xml,True,img_01_425005700_00246.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00246.xml,496,968,496,480128,2048000,0.2344375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00253.jpg,2048,2048,6_siban,6,818,549,1207,1453,voc_xml,True,img_01_425005700_00253.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00253.xml,389,904,389,351656,2048000,0.17170703125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00254.jpg,2048,2048,6_siban,6,828,546,1208,1392,voc_xml,True,img_01_425005700_00254.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00254.xml,380,846,380,321480,2048000,0.15697265625,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00255.jpg,2048,2048,6_siban,6,800,625,1230,1456,voc_xml,True,img_01_425005700_00255.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00255.xml,430,831,430,357330,2048000,0.1744775390625,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00256.jpg,2048,2048,6_siban,6,867,590,1271,1469,voc_xml,True,img_01_425005700_00256.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00256.xml,404,879,404,355116,2048000,0.173396484375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00258.jpg,2048,2048,6_siban,6,899,543,1292,1524,voc_xml,True,img_01_425005700_00258.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00258.xml,393,981,393,385533,2048000,0.18824853515625,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00266.jpg,2048,2048,6_siban,6,807,617,1326,1386,voc_xml,True,img_01_425005700_00266.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00266.xml,519,769,519,399111,2048000,0.19487841796875,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00267.jpg,2048,2048,6_siban,6,863,525,1429,1447,voc_xml,True,img_01_425005700_00267.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00267.xml,566,922,566,521852,2048000,0.254810546875,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00270.jpg,2048,2048,6_siban,6,887,563,1349,1382,voc_xml,True,img_01_425005700_00270.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00270.xml,462,819,462,378378,2048000,0.1847548828125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00273.jpg,2048,2048,6_siban,6,792,525,1317,1496,voc_xml,True,img_01_425005700_00273.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00273.xml,525,971,525,509775,2048000,0.24891357421875,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00277.jpg,2048,2048,6_siban,6,855,525,1440,1495,voc_xml,True,img_01_425005700_00277.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00277.xml,585,970,585,567450,2048000,0.2770751953125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00279.jpg,2048,2048,6_siban,6,881,525,1423,1478,voc_xml,True,img_01_425005700_00279.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00279.xml,542,953,542,516526,2048000,0.2522099609375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00283.jpg,2048,2048,6_siban,6,832,525,1388,1367,voc_xml,True,img_01_425005700_00283.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00283.xml,556,842,556,468152,2048000,0.22858984375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00285.jpg,2048,2048,6_siban,6,753,525,1430,1489,voc_xml,True,img_01_425005700_00285.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00285.xml,677,964,677,652628,2048000,0.318666015625,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00286.jpg,2048,2048,6_siban,6,771,568,1281,1372,voc_xml,True,img_01_425005700_00286.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00286.xml,510,804,510,410040,2048000,0.20021484375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00287.jpg,2048,2048,6_siban,6,769,540,1297,1465,voc_xml,True,img_01_425005700_00287.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00287.xml,528,925,528,488400,2048000,0.2384765625,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00288.jpg,2048,2048,6_siban,6,826,525,1366,1301,voc_xml,True,img_01_425005700_00288.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00288.xml,540,776,540,419040,2048000,0.204609375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00289.jpg,2048,2048,6_siban,6,889,525,1373,1419,voc_xml,True,img_01_425005700_00289.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00289.xml,484,894,484,432696,2048000,0.21127734375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00290.jpg,2048,2048,6_siban,6,815,579,1362,1364,voc_xml,True,img_01_425005700_00290.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00290.xml,547,785,547,429395,2048000,0.20966552734375,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00291.jpg,2048,2048,6_siban,6,822,530,1387,1477,voc_xml,True,img_01_425005700_00291.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00291.xml,565,947,565,535055,2048000,0.26125732421875,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00292.jpg,2048,2048,6_siban,6,836,525,1323,1475,voc_xml,True,img_01_425005700_00292.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00292.xml,487,950,487,462650,2048000,0.2259033203125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00297.jpg,2048,2048,6_siban,6,869,602,1289,1297,voc_xml,True,img_01_425005700_00297.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00297.xml,420,695,420,291900,2048000,0.142529296875,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00298.jpg,2048,2048,6_siban,6,874,595,1389,1415,voc_xml,True,img_01_425005700_00298.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00298.xml,515,820,515,422300,2048000,0.206201171875,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00300.jpg,2048,2048,6_siban,6,895,576,1428,1402,voc_xml,True,img_01_425005700_00300.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00300.xml,533,826,533,440258,2048000,0.2149697265625,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00301.jpg,2048,2048,6_siban,6,876,629,1429,1414,voc_xml,True,img_01_425005700_00301.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00301.xml,553,785,553,434105,2048000,0.21196533203125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00302.jpg,2048,2048,6_siban,6,908,707,1453,1464,voc_xml,True,img_01_425005700_00302.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00302.xml,545,757,545,412565,2048000,0.20144775390625,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00304.jpg,2048,2048,6_siban,6,838,623,1310,1158,voc_xml,True,img_01_425005700_00304.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00304.xml,472,535,472,252520,2048000,0.12330078125,2048,1000,2048,0,524,0,524,True
D:\project_root\data\processed\images\all\img_01_425005700_00307.jpg,2048,2048,6_siban,6,812,525,1440,1264,voc_xml,True,img_01_425005700_00307.jpg,D:\project_root\data\raw\archive\lable\img_01_425005700_00307.xml,628,739,628,464092,2048000,0.226607421875,2048,1000,2048,0,524,0,524,True
